,sudo_at,sudo_ab
0,4k3j_H_L_B,4k3j_H_L_B
1,4ers_H_L_A,4ers_H_L_A
2,3tt1_I_M_A,3tt1_I_M_A
3,1qfu_H_L_A,1qfu_H_L_A
4,1qfu_H_L_A,2vir_B_A_C
5,1qfu_H_L_A,4fp8_I_M_B
6,1qfu_H_L_A,4gms_J_N_E
7,1qfu_H_L_A,4gms_I_M_C
8,1qfu_H_L_A,5k9k_H_L_F
9,1qfu_H_L_A,5kaq_F_G_C
10,1qfu_H_L_A,6n5d_C_D_A
11,1qfu_H_L_A,6n5e_G_F_B
12,1qfu_H_L_A,6pdx_M_N_B
13,2vir_B_A_C,1qfu_H_L_A
14,2vir_B_A_C,2vir_B_A_C
15,2vir_B_A_C,4fp8_I_M_B
16,2vir_B_A_C,4gms_J_N_E
17,2vir_B_A_C,4gms_I_M_C
18,2vir_B_A_C,5k9k_H_L_F
19,2vir_B_A_C,5kaq_F_G_C
20,2vir_B_A_C,6n5d_C_D_A
21,2vir_B_A_C,6n5e_G_F_B
22,2vir_B_A_C,6pdx_M_N_B
23,4fp8_I_M_B,1qfu_H_L_A
24,4fp8_I_M_B,2vir_B_A_C
25,4fp8_I_M_B,4fp8_I_M_B
26,4fp8_I_M_B,4gms_J_N_E
27,4fp8_I_M_B,4gms_I_M_C
28,4fp8_I_M_B,5k9k_H_L_F
29,4fp8_I_M_B,5kaq_F_G_C
30,4fp8_I_M_B,6n5d_C_D_A
31,4fp8_I_M_B,6n5e_G_F_B
32,4fp8_I_M_B,6pdx_M_N_B
33,4gms_J_N_E,1qfu_H_L_A
34,4gms_J_N_E,2vir_B_A_C
35,4gms_J_N_E,4fp8_I_M_B
36,4gms_J_N_E,4gms_J_N_E
37,4gms_J_N_E,4gms_I_M_C
38,4gms_J_N_E,5k9k_H_L_F
39,4gms_J_N_E,5kaq_F_G_C
40,4gms_J_N_E,6n5d_C_D_A
41,4gms_J_N_E,6n5e_G_F_B
42,4gms_J_N_E,6pdx_M_N_B
43,4gms_I_M_C,1qfu_H_L_A
44,4gms_I_M_C,2vir_B_A_C
45,4gms_I_M_C,4fp8_I_M_B
46,4gms_I_M_C,4gms_J_N_E
47,4gms_I_M_C,4gms_I_M_C
48,4gms_I_M_C,5k9k_H_L_F
49,4gms_I_M_C,5kaq_F_G_C
50,4gms_I_M_C,6n5d_C_D_A
51,4gms_I_M_C,6n5e_G_F_B
52,4gms_I_M_C,6pdx_M_N_B
53,5k9k_H_L_F,1qfu_H_L_A
54,5k9k_H_L_F,2vir_B_A_C
55,5k9k_H_L_F,4fp8_I_M_B
56,5k9k_H_L_F,4gms_J_N_E
57,5k9k_H_L_F,4gms_I_M_C
58,5k9k_H_L_F,5k9k_H_L_F
59,5k9k_H_L_F,5kaq_F_G_C
60,5k9k_H_L_F,6n5d_C_D_A
61,5k9k_H_L_F,6n5e_G_F_B
62,5k9k_H_L_F,6pdx_M_N_B
