Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,0.6938146948814392,100,100,100,0.6938146948814392,0.538920278525404,0.5341296511058654,0.539543057996485,0.49736735520453623,0.5755366545159983,0.5175974660304007
valid,1,0.7228110432624817,100,100,100,0.7228110432624817,0.4038503331242898,0.44315223502193013,0.40396341463414637,0.1990984222389181,0.7062359128474831,0.2667337650787695
train,2,0.6894130706787109,100,100,100,0.6894130706787109,0.5643987879843719,0.5563974839623467,0.556663644605621,0.49736735520453623,0.6038882138517618,0.5253475885987118
valid,2,0.7326038479804993,100,100,100,0.7326038479804993,0.4083184265176305,0.43943622635201607,0.4364105874757908,0.5078888054094666,0.3441021788129226,0.46944443947309267
train,3,0.6859807372093201,100,100,100,0.6859807372093201,0.5726882110958388,0.5713314655801962,0.5620275678079146,0.5119481571486432,0.6010530579181855,0.535820257834102
valid,3,0.7271525859832764,100,100,100,0.7271525859832764,0.4180925748534767,0.4616286135423975,0.44485981308411215,0.17881292261457551,0.7768595041322314,0.2550910998755585
train,4,0.6848931908607483,100,100,100,0.6848931908607483,0.5759362633717637,0.5770284731600362,0.5558333333333333,0.5402997164844067,0.5682462535439449,0.5479564542328793
valid,4,0.7279617190361023,100,100,100,0.7279617190361023,0.42543158265507086,0.47061580002443393,0.44285714285714284,0.16303531179564237,0.7948910593538693,0.23833058365569068
train,5,0.680984377861023,100,100,100,0.680984377861023,0.5860720729676584,0.5899408407075971,0.5728689275893676,0.5062778452814904,0.6225192385581207,0.5375188081774994
valid,5,0.7437233924865723,100,100,100,0.7437233924865723,0.42878399332566025,0.4713964208518713,0.42953020134228187,0.24042073628850488,0.6806912096168295,0.30828515917488525
train,6,0.678101658821106,100,100,100,0.678101658821106,0.5956293027465235,0.5974636416561138,0.5889168765743074,0.4734710409072499,0.669501822600243,0.5249214140083011
valid,6,0.7569882869720459,100,100,100,0.7569882869720459,0.45754337558797015,0.5178619258473259,0.46153846153846156,0.6491359879789632,0.24267468069120962,0.5394942193074886
train,7,0.6804984211921692,100,100,100,0.6804984211921692,0.589581035705445,0.5934151229645783,0.5738255033557047,0.4848116646415553,0.639935196435804,0.5255762848267882
valid,7,0.7276141047477722,100,100,100,0.7276141047477722,0.503127467809463,0.5749603997312132,0.4635306553911205,0.6589030803906837,0.23741547708489857,0.5442134608666591
train,8,0.6745234131813049,100,100,100,0.6745234131813049,0.6005778252190261,0.6139647595656916,0.5958731756416709,0.4795463750506278,0.6747671121911705,0.5314183074462943
valid,8,0.7121809124946594,100,100,100,0.7121809124946594,0.46488068996777415,0.5249577368841616,0.47762237762237764,0.5131480090157776,0.4387678437265214,0.4947482746152659
train,9,0.6708770990371704,100,100,100,0.6708770990371704,0.6102378279651067,0.62383168964731,0.6058536585365853,0.503037667071689,0.6727420008100445,0.549679127594434
valid,9,0.7634701132774353,100,100,100,0.7634701132774353,0.4786806663727639,0.5505991697801146,0.48443735035913804,0.4560480841472577,0.5146506386175808,0.46981423649062404
train,10,0.6716095209121704,100,100,100,0.6716095209121704,0.6112006786132654,0.6229005610355789,0.5924855491329479,0.49817739975698666,0.6573511543134872,0.5412541204499254
valid,10,0.7226903438568115,100,100,100,0.7226903438568115,0.4790549125883895,0.5547308330631909,0.5253456221198156,0.2569496619083396,0.7678437265214124,0.3451059491707864
train,11,0.6688336730003357,100,100,100,0.6688336730003357,0.6230236709191546,0.6357096421717722,0.6169028340080972,0.4937221547185095,0.6933981368975294,0.548481434881529
