Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,0.6936618089675903,100,100,100,0.6936618089675903,0.5406167296673978,0.5350880244345434,0.5393013100436681,0.5002025111381126,0.572701498582422,0.5190165951331507
valid,1,0.7251208424568176,100,100,100,0.7251208424568176,0.4007522179591897,0.4431615719475901,0.4,0.20886551465063863,0.6867017280240421,0.27443237456478914
train,2,0.6891137361526489,100,100,100,0.6891137361526489,0.5653403130367796,0.5572675388231113,0.5569395017793595,0.5070878898339408,0.5965978128797084,0.530845871627469
valid,2,0.7325014472007751,100,100,100,0.7325014472007751,0.41063559200050126,0.44074098026502706,0.4360699865410498,0.4868519909842224,0.37039819684447783,0.46006389277871595
train,3,0.6850407719612122,100,100,100,0.6850407719612122,0.5740366449194803,0.5742252542490325,0.565929203539823,0.5180234912920211,0.6026731470230863,0.5409177366041836
valid,3,0.7227474451065063,100,100,100,0.7227474451065063,0.41621965035355823,0.4608645272947409,0.43795620437956206,0.18031555221637866,0.768595041322314,0.2554550251391292
train,4,0.6834630370140076,100,100,100,0.6834630370140076,0.5806454470427223,0.583099274423077,0.5615514333895447,0.5394896719319563,0.5787768327257999,0.5502995198935589
valid,4,0.728112518787384,100,100,100,0.728112518787384,0.42487839820361817,0.4726402278029899,0.4387947269303202,0.1750563486100676,0.7761081893313299,0.2502685243869937
train,5,0.6804748177528381,100,100,100,0.6804748177528381,0.5877191471533364,0.5906217135564287,0.5711627906976744,0.49736735520453623,0.6265694613203726,0.5317168168467536
valid,5,0.7419319152832031,100,100,100,0.7419319152832031,0.4502108592365716,0.49553982398439733,0.4506880733944954,0.29526671675432004,0.6401202103681443,0.35678619585255034
train,6,0.6758185029029846,100,100,100,0.6758185029029846,0.6001229338573524,0.6078210788591021,0.6,0.47144592952612396,0.6857027136492507,0.528010881894387
valid,6,0.7853364944458008,100,100,100,0.7853364944458008,0.4944464232391659,0.5595284732914138,0.47506925207756234,0.7731029301277235,0.1457550713749061,0.5885044276556736
train,7,0.6792851090431213,100,100,100,0.6792851090431213,0.5930737581818519,0.603851746683871,0.5856435643564356,0.4791413527744026,0.660996354799514,0.5270661567786924
valid,7,0.7085986733436584,100,100,100,0.7085986733436584,0.5277616745909399,0.6027248344581476,0.49798657718120803,0.5574755822689706,0.4380165289256198,0.5260545855866036
train,8,0.6715953946113586,100,100,100,0.6715953946113586,0.6079039875747236,0.6239060577285565,0.601242879337131,0.47023086269744835,0.6881328473066018,0.527727267802026
valid,8,0.6984498500823975,100,100,100,0.6984498500823975,0.49540715786811745,0.5574496148010146,0.49679258731290094,0.5236664162283997,0.4695717505634861,0.5098756350912512
train,9,0.6691072583198547,100,100,100,0.6691072583198547,0.6189111118000918,0.6343268857003657,0.6183401639344263,0.4888618874038072,0.6982584042122316,0.5460303049530185
valid,9,0.7784541249275208,100,100,100,0.7784541249275208,0.5238114860284235,0.5999790990355964,0.4937402190923318,0.4740796393688956,0.5138993238166792,0.4837102288081193
train,10,0.66766357421875,100,100,100,0.66766357421875,0.6187583877259057,0.6356871337970633,0.6067415730337079,0.48116646415552855,0.6881328473066018,0.5367065683668216
valid,10,0.7039508819580078,100,100,100,0.7039508819580078,0.5142665141081793,0.5819920204156066,0.5380710659898477,0.318557475582269,0.7265214124718257,0.4001887636152557
train,11,0.6675999760627747,100,100,100,0.6675999760627747,0.6336711307700296,0.6449613814913611,0.623877443211833,0.4783313082219522,0.711624139327663,0.5414947222765482
valid,11,0.7183375954627991,100,100,100,0.7183375954627991,0.5508893004531032,0.611534180657164,0.5333333333333333,0.46882043576258453,0.5897821187077386,0.4990003948607843
train,12,0.6668910980224609,100,100,100,0.6668910980224609,0.6299539974091042,0.6454051677990844,0.6186528497409326,0.4835965978128797,0.7019036046982584,0.5428506429495824
valid,12,0.725489616394043,100,100,100,0.725489616394043,0.5048420573720013,0.5748389729243659,0.49244444444444446,0.41622839969947406,0.5709992486851991,0.451140060181756
train,13,0.6627416610717773,100,100,100,0.6627416610717773,0.6405881697733958,0.6595038176938044,0.6334068357221609,0.46537059538274606,0.7306601863102471,0.5365398036623504
valid,13,0.7334602475166321,100,100,100,0.7334602475166321,0.5399125404092775,0.6116051617518642,0.6410256410256411,0.33809166040571,0.8106686701728024,0.44269551933499623
train,14,0.6521363258361816,100,100,100,0.6521363258361816,0.6659607894473079,0.6775949134828805,0.6591160220994475,0.48319157553665454,0.7501012555690563,0.557606912622682
valid,14,0.7306879758834839,100,100,100,0.7306879758834839,0.5622036159071011,0.6298683408719279,0.5531914893617021,0.5078888054094666,0.5897821187077386,0.5295730463212961
train,15,0.6547341346740723,100,100,100,0.6547341346740723,0.6700836832781574,0.679924866459177,0.6458536585365854,0.5362494937221547,0.7059538274605103,0.5859703424649807
valid,15,0.6854132413864136,100,100,100,0.6854132413864136,0.5938254454687137,0.6471697154239477,0.593170731707317,0.4567993989481593,0.6867017280240421,0.5161290273424102
train,16,0.6355746388435364,100,100,100,0.6355746388435364,0.6851057610112663,0.7008262622966026,0.6574531095755183,0.5394896719319563,0.7189145402997165,0.5926585045035144
valid,16,0.7757629752159119,100,100,100,0.7757629752159119,0.570578151133379,0.6290871513108889,0.5594913714804723,0.4628099173553719,0.6356123215627348,0.5065789424131408
train,17,0.6339737772941589,100,100,100,0.6339737772941589,0.6858092596064836,0.7041055495749868,0.6556741028128031,0.5475901174564601,0.7124341838801134,0.5967777482956954
valid,17,0.7092016339302063,100,100,100,0.7092016339302063,0.5867898424045235,0.6416362708717429,0.5573770491803278,0.5619834710743802,0.5537190082644629,0.5596707768930889
train,18,0.6289935111999512,100,100,100,0.6289935111999512,0.6974251475690214,0.7130310228317402,0.6578346276838739,0.583232077764277,0.6966383151073309,0.6182911070833311
valid,18,0.6673910617828369,100,100,100,0.6673910617828369,0.6436306737391486,0.6820067585520918,0.6482465462274176,0.45830202854996244,0.7513148009015778,0.5369718261332427
train,19,0.6170998811721802,100,100,100,0.6170998811721802,0.716287554989279,0.729608402579229,0.6643078283945157,0.608343458890239,0.692588092345079,0.6350951324303877
valid,19,0.8025611042976379,100,100,100,0.8025611042976379,0.5769053394153518,0.6493825848812671,0.5284938941655359,0.585274229902329,0.47783621337340343,0.5554367151555976
train,20,0.6126217842102051,100,100,100,0.6126217842102051,0.7209389955086655,0.7317057591589098,0.6723267553923818,0.5933576346699069,0.7108140947752126,0.6303786525065553
valid,20,0.7309239506721497,100,100,100,0.7309239506721497,0.5868894720531779,0.6519297501465795,0.566607460035524,0.4793388429752066,0.6333583771600301,0.5193325143673265
train,21,0.6081250309944153,100,100,100,0.6081250309944153,0.7212811892989472,0.7384881250896859,0.6662292213473315,0.616848926690968,0.6909680032401783,0.6405888488454711
valid,21,0.649498462677002,100,100,100,0.649498462677002,0.6584610973034516,0.6959952494692198,0.6029629629629629,0.6115702479338843,0.5972952667167544,0.6072361009308741
train,22,0.6012480854988098,100,100,100,0.6012480854988098,0.7288581734692856,0.7462942689619199,0.6770499312872195,0.5986229242608343,0.7144592952612394,0.6354256184066885
valid,22,0.6686936020851135,100,100,100,0.6686936020851135,0.6461352445667973,0.7010212153587745,0.5988835725677831,0.564237415477085,0.6220886551465064,0.5810444824319027
