Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,0.6911214590072632,100,100,100,0.6911214590072632,0.5486666499342762,0.5413881526789767,0.5375323554788611,0.5046577561765897,0.5658161198865937,0.5205765565257606
valid,1,0.7337923645973206,100,100,100,0.7337923645973206,0.3990153316764142,0.44221540484312694,0.40281329923273657,0.236664162283997,0.6491359879789632,0.2981542783474711
train,2,0.6887663006782532,100,100,100,0.6887663006782532,0.56516732964663,0.5564423862479031,0.5598233995584989,0.5135682462535439,0.5961927906034832,0.5356991923054403
valid,2,0.7353348731994629,100,100,100,0.7353348731994629,0.40645030004611754,0.44325212285337234,0.4395819725669497,0.5056348610067618,0.35537190082644626,0.4703004841928306
train,3,0.684380292892456,100,100,100,0.684380292892456,0.5779913946299853,0.5712548753588929,0.5630861040068201,0.5350344268934791,0.5848521668691778,0.5487019680043013
valid,3,0.71192866563797,100,100,100,0.71192866563797,0.42617217245130146,0.46953283648481514,0.4338461538461538,0.21187077385424494,0.7235161532682194,0.28470469018956207
train,4,0.6838002800941467,100,100,100,0.6838002800941467,0.5796219824897174,0.5825767488392192,0.5570906135717189,0.5552855407047388,0.5585257189145403,0.5561866075760782
valid,4,0.7495737671852112,100,100,100,0.7495737671852112,0.4210619899625246,0.46719802465639676,0.41423948220064727,0.19233658903080392,0.7280240420736288,0.262698815576798
train,5,0.6795664429664612,100,100,100,0.6795664429664612,0.5931532370367855,0.596130880936288,0.5729076790336497,0.5378695828270554,0.5990279465370595,0.554836009210114
valid,5,0.7592543959617615,100,100,100,0.7592543959617615,0.4448904102088497,0.48773325763793446,0.43565525383707204,0.2772351615326822,0.6408715251690458,0.33884297045352524
train,6,0.6763762831687927,100,100,100,0.6763762831687927,0.6021053940469764,0.6071727397824084,0.5900144023043687,0.4977723774807614,0.6541109761036857,0.5399824203435106
valid,6,0.7439461946487427,100,100,100,0.7439461946487427,0.4994250833022402,0.5756919262191198,0.46917148362235067,0.7317806160781367,0.1720510894064613,0.5717640105017717
train,7,0.6779267191886902,100,100,100,0.6779267191886902,0.6004214101763446,0.6091173941750361,0.5854383358098069,0.4787363304981774,0.660996354799514,0.5267379629647063
valid,7,0.6831469535827637,100,100,100,0.6831469535827637,0.5420959255707255,0.6104459374079121,0.49235048678720444,0.531930879038317,0.45154019534184825,0.5113759430031325
train,8,0.6739486455917358,100,100,100,0.6739486455917358,0.6115811764543769,0.6211800399259416,0.5928085519922255,0.4941271769947347,0.6605913325232888,0.5389882875086306
valid,8,0.6960659623146057,100,100,100,0.6960659623146057,0.5140590699388844,0.585296792675868,0.482086406743941,0.6874530428249437,0.26145755071374904,0.5667389236149939
train,9,0.6666103601455688,100,100,100,0.6666103601455688,0.6219690381877443,0.6388534587166702,0.6148751910341315,0.4888618874038072,0.6938031591737546,0.5446750853178813
valid,9,0.7466845512390137,100,100,100,0.7466845512390137,0.525117678702568,0.6065470924023252,0.5043478260869565,0.4357625845229151,0.5717505634861006,0.4675534009113356
train,10,0.6666156053543091,100,100,100,0.6666156053543091,0.6268593253795423,0.6427671345263501,0.6136931534232883,0.49736735520453623,0.6869177804779263,0.5494407109384774
valid,10,0.7301952838897705,100,100,100,0.7301952838897705,0.4939251315647613,0.5715742742814012,0.5243393602225312,0.2832456799398948,0.7430503380916604,0.367804873494401
train,11,0.6661098003387451,100,100,100,0.6661098003387451,0.6352612820193568,0.6486410016319301,0.6341730558598029,0.4690157958687728,0.7294451194815715,0.53923165983849
valid,11,0.7243451476097107,100,100,100,0.7243451476097107,0.554614263917528,0.6121799971575181,0.5587649402390438,0.4214876033057851,0.667167543200601,0.48051391372761026
train,12,0.6727044582366943,100,100,100,0.6727044582366943,0.6269103427663005,0.6414325931543412,0.6245333333333334,0.47428108545970027,0.7148643175374646,0.5391344333991988
valid,12,0.7204448580741882,100,100,100,0.7204448580741882,0.5258354073046314,0.6008950488796605,0.4911717495987159,0.4598046581517656,0.5236664162283997,0.4749708913965923
train,13,0.6595106720924377,100,100,100,0.6595106720924377,0.6393208552351303,0.6633673590336503,0.6334938469769931,0.4795463750506278,0.7225597407857433,0.5458736696000318
valid,13,0.7788264751434326,100,100,100,0.7788264751434326,0.5603910901176985,0.6225811410630804,0.5499021526418787,0.4222389181066867,0.6543951915852743,0.477688052884782
train,14,0.6590184569358826,100,100,100,0.6590184569358826,0.6577110647525468,0.6706643186792315,0.6546162402669633,0.47671121911705144,0.7484811664641555,0.5516756454634603
valid,14,0.74736088514328,100,100,100,0.74736088514328,0.5794449076266637,0.6302399120979207,0.5669811320754717,0.45154019534184825,0.6551465063861758,0.5027185228768625
train,15,0.6554155349731445,100,100,100,0.6554155349731445,0.6652511392379314,0.677869320277142,0.6450173525037184,0.5269339813689753,0.7100040502227623,0.580026744939303
valid,15,0.7106837630271912,100,100,100,0.7106837630271912,0.5664467664393154,0.6404238965842989,0.5677290836653387,0.42824943651389935,0.6739293764087152,0.4882226931708652
train,16,0.6419583559036255,100,100,100,0.6419583559036255,0.6790635635628246,0.6947563375298763,0.6589068825910931,0.5273390036452005,0.7270149858242203,0.5858267667150497
valid,16,0.7625778913497925,100,100,100,0.7625778913497925,0.5647431841184132,0.6129195385401566,0.5557788944723618,0.4154770848985725,0.6679188580015026,0.47549440611035376
train,17,0.6402270197868347,100,100,100,0.6402270197868347,0.6772885358026404,0.6931751642359059,0.6272767658818303,0.5718914540299717,0.6601863102470635,0.5983050797564288
valid,17,0.7381011843681335,100,100,100,0.7381011843681335,0.5663414920513604,0.6296602309247272,0.5135290731145653,0.6701728024042074,0.3651389932381668,0.5814863053874308
train,18,0.6340898871421814,100,100,100,0.6340898871421814,0.6900104019694351,0.7057831664091818,0.6611570247933884,0.5508302956662616,0.7176994734710409,0.6009721558898633
valid,18,0.6652234196662903,100,100,100,0.6652234196662903,0.6433693223095338,0.6760016817333359,0.6042553191489362,0.5334335086401202,0.6506386175807664,0.5666400588661435
train,19,0.6272813081741333,100,100,100,0.6272813081741333,0.7052408963902492,0.7176917617905425,0.6602209944751382,0.5808019441069259,0.701093560145808,0.6179702600495652
valid,19,0.7640225887298584,100,100,100,0.7640225887298584,0.5986443594095829,0.6606721642954405,0.5594179466451091,0.5199098422238918,0.5905334335086401,0.5389408049755468
train,20,0.6182166337966919,100,100,100,0.6182166337966919,0.7109913432845125,0.7253315754343954,0.6693586698337293,0.5706763872012961,0.7181044957472661,0.6160909438729419
