Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,0.6949691772460938,100,100,100,0.6949691772460938,0.5202532009086596,0.5183882438731224,0.5156193895870737,0.4828513786146604,0.5464021519838601,0.49869768557666494
valid,1,0.6914085149765015,100,100,100,0.6914085149765015,0.5440276369094033,0.5215231137005661,0.5663531870428422,0.6561743341404358,0.4975786924939467,0.6079641004672598
train,2,0.6175121068954468,100,100,100,0.6175121068954468,0.7141950705712679,0.7095186568253508,0.6447913348200064,0.6805648957632818,0.625084061869536,0.6621953164497413
valid,2,0.6920563578605652,100,100,100,0.6920563578605652,0.6446555352965663,0.6646722005884735,0.6359712230215827,0.5351089588377724,0.6937046004842615,0.581196576233671
train,3,0.5043831467628479,100,100,100,0.5043831467628479,0.8327051211372807,0.8501828157482293,0.7689380837080595,0.7474781439139206,0.7753866845998655,0.7580562609856561
valid,3,0.6667227149009705,100,100,100,0.6667227149009705,0.7097523582831581,0.7319943778888124,0.6817610062893081,0.6561743341404358,0.6937046004842615,0.6687230054891822
train,4,0.4581049382686615,100,100,100,0.4581049382686615,0.863764483854468,0.8849630120986738,0.8074336283185841,0.7669804976462676,0.8170813718897109,0.7866873548929372
valid,4,0.7188714146614075,100,100,100,0.7188714146614075,0.7204269240014305,0.7434932390574766,0.7129770992366412,0.5653753026634383,0.7723970944309927,0.6306549579295886
train,5,0.4312937259674072,100,100,100,0.4312937259674072,0.8782173592339617,0.9026912696292397,0.8370991253644315,0.7723604572965703,0.8496973772696704,0.8034277669563236
valid,5,0.7712390422821045,100,100,100,0.7712390422821045,0.6902814989828163,0.7212058993101682,0.6890243902439024,0.5472154963680388,0.7530266343825666,0.6099864997891388
train,6,0.4132881760597229,100,100,100,0.4132881760597229,0.8862906905804124,0.9112881104391986,0.8492901346923917,0.7844653665097512,0.8607935440484197,0.815591674784135
valid,6,0.7542318105697632,100,100,100,0.7542318105697632,0.6979843934126365,0.7520058205048886,0.8034557235421166,0.45036319612590797,0.8898305084745762,0.5771916168084785
train,7,0.3916223347187042,100,100,100,0.3916223347187042,0.8914638591622801,0.9183629574092605,0.8757126567844926,0.7747141896435776,0.8900470746469401,0.8221230993898216
valid,7,0.6860155463218689,100,100,100,0.6860155463218689,0.6874476018502775,0.7296233637538587,0.7129032258064516,0.5351089588377724,0.784503631961259,0.6113416271899972
train,8,0.38183659315109253,100,100,100,0.38183659315109253,0.8956878691768924,0.9211656554047982,0.887567152724482,0.7777404169468729,0.9014794889038332,0.8290322530862632
valid,8,0.8112145662307739,100,100,100,0.8112145662307739,0.6839211697318974,0.7183657991606984,0.8199445983379502,0.3583535108958838,0.9213075060532687,0.49873630579259026
