Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,0.6818565726280212,100,100,100,0.6818565726280212,0.5729899813272048,0.58345471689181,0.5471285892634207,0.5305690072639225,0.5608353510895884,0.5387215684492445
valid,1,0.7143890261650085,100,100,100,0.7143890261650085,0.5247402607960459,0.5342210568538726,0.510989010989011,0.1875,0.8205645161290323,0.2743362792582731
train,2,0.593130350112915,100,100,100,0.593130350112915,0.7410781157478792,0.7605380495577543,0.6934010152284263,0.6201573849878934,0.7257869249394673,0.6547371734785591
valid,2,0.8063639998435974,100,100,100,0.8063639998435974,0.5193178492455776,0.5724689584100295,0.5927601809954751,0.26411290322580644,0.8185483870967742,0.3654114322766681
train,3,0.5088808536529541,100,100,100,0.5088808536529541,0.8198472832109,0.850504872933473,0.7748167888074617,0.7039951573849879,0.7953995157384988,0.7377101123600246
valid,3,0.8278119564056396,100,100,100,0.8278119564056396,0.5846469335327784,0.6410396143685013,0.7031963470319634,0.31048387096774194,0.8689516129032258,0.4307692265196734
train,4,0.46676069498062134,100,100,100,0.46676069498062134,0.8467556568016462,0.8772566505319787,0.8148907103825137,0.7221549636803875,0.835956416464891,0.7657252838500367
valid,4,0.765265703201294,100,100,100,0.765265703201294,0.6001377959157128,0.6724282476083969,0.7022058823529411,0.3850806451612903,0.8366935483870968,0.49739582875868066
train,5,0.42560017108917236,100,100,100,0.42560017108917236,0.8686631216692364,0.8988021756380754,0.8538113470240167,0.7424334140435835,0.8728813559322034,0.794236679499007
valid,5,0.830797553062439,100,100,100,0.830797553062439,0.610291607049948,0.6741190122067753,0.6192893401015228,0.49193548387096775,0.6975806451612904,0.5483146018072467
train,6,0.41600748896598816,100,100,100,0.41600748896598816,0.8779682818976484,0.9051142182243099,0.8668752172401808,0.7548426150121066,0.8840799031476998,0.8069891553539059
valid,6,0.803289532661438,100,100,100,0.803289532661438,0.639509218912591,0.6841721650827878,0.7527675276752768,0.4112903225806452,0.8649193548387096,0.5319426290678222
train,7,0.4057205021381378,100,100,100,0.4057205021381378,0.8822799992231882,0.9097000965465327,0.8816442239546421,0.7530266343825666,0.898910411622276,0.8122755418804476
valid,7,0.868406355381012,100,100,100,0.868406355381012,0.6204860659469302,0.6683467291151772,0.634703196347032,0.5604838709677419,0.6774193548387096,0.5952890742484032
train,8,0.3845668137073517,100,100,100,0.3845668137073517,0.8889429461097855,0.9170028824980919,0.9025547445255474,0.7484866828087167,0.9191888619854721,0.8183322253545913
valid,8,0.7551031112670898,100,100,100,0.7551031112670898,0.64499260210718,0.7074379954947556,0.8504672897196262,0.36693548387096775,0.9354838709677419,0.5126760521268002
train,9,0.38040560483932495,100,100,100,0.38040560483932495,0.8971813642865937,0.9219638238098714,0.9024918743228603,0.7563559322033898,0.9182808716707022,0.8229869866409772
valid,9,0.8566616177558899,100,100,100,0.8566616177558899,0.6202299850416233,0.6953389759816158,0.6216216216216216,0.5100806451612904,0.6895161290322581,0.5603543693564335
train,10,0.3701399564743042,100,100,100,0.3701399564743042,0.8997554691942851,0.9250804246930487,0.9222948438634713,0.7687651331719129,0.9352300242130751,0.8385605760910647
valid,10,0.7097986340522766,100,100,100,0.7097986340522766,0.6567235464360042,0.7275964629137613,0.8552631578947368,0.39314516129032256,0.9334677419354839,0.5386740288342846
train,11,0.36622151732444763,100,100,100,0.36622151732444763,0.9046275352643212,0.9282285235072082,0.9211966435607443,0.764225181598063,0.9346246973365617,0.8354011530251737
valid,11,0.72539883852005,100,100,100,0.72539883852005,0.6320462896722164,0.7003096349157094,0.7647058823529411,0.39314516129032256,0.8790322580645161,0.5193075853950614
train,12,0.36227667331695557,100,100,100,0.36227667331695557,0.9084398670772533,0.9302332773857525,0.9293517844136926,0.7723970944309927,0.9412832929782082,0.8436363586788967
valid,12,0.7193132638931274,100,100,100,0.7193132638931274,0.6872500162591051,0.7541742754358318,0.9488636363636364,0.33669354838709675,0.9818548387096774,0.49702380565759635
train,13,0.3483085334300995,100,100,100,0.3483085334300995,0.9107855087237423,0.9336648730116256,0.9327731092436975,0.7726997578692494,0.9443099273607748,0.8452242956565286
valid,13,0.6161341071128845,100,100,100,0.6161341071128845,0.6918269543444329,0.7704700155299223,0.895397489539749,0.4314516129032258,0.9495967741935484,0.5823129207813782
train,14,0.343648225069046,100,100,100,0.343648225069046,0.9153837211773534,0.9360624497626799,0.936542669584245,0.7772397094430993,0.9473365617433414,0.8494872593501821
valid,14,0.7472448348999023,100,100,100,0.7472448348999023,0.6896075864984391,0.7579060086101346,0.885593220338983,0.4213709677419355,0.9455645161290323,0.5710382469969244
train,15,0.3417811691761017,100,100,100,0.3417811691761017,0.916663399416072,0.9369331526438698,0.9364204336640941,0.7711864406779662,0.947639225181598,0.8458091236775214
valid,15,0.6664637327194214,100,100,100,0.6664637327194214,0.6876361700052029,0.7576565806901857,0.8870967741935484,0.4435483870967742,0.9435483870967742,0.5913978450179213
train,16,0.32973501086235046,100,100,100,0.32973501086235046,0.9199826664722195,0.9397927466723663,0.9504071058475203,0.7772397094430993,0.9594430992736077,0.8551448501950887
valid,16,0.8167173266410828,100,100,100,0.8167173266410828,0.665987171566077,0.7406190648672373,0.6702412868632708,0.5040322580645161,0.7520161290322581,0.5753739881956829
train,17,0.3348851799964905,100,100,100,0.3348851799964905,0.9242824293247894,0.9401562331569903,0.9467499081894969,0.7802663438256658,0.9561138014527845,0.8554836519238495
valid,17,0.7850714921951294,100,100,100,0.7850714921951294,0.6776754357440167,0.7527971399514297,0.7758620689655172,0.4536290322580645,0.8689516129032258,0.5725190793129123
train,18,0.3198730945587158,100,100,100,0.3198730945587158,0.9267508676840457,0.9442099134334604,0.9515532544378699,0.7787530266343826,0.9603510895883777,0.8565246288714383
valid,18,0.623274564743042,100,100,100,0.623274564743042,0.667974847164412,0.74784519220866,0.8982300884955752,0.4092741935483871,0.9536290322580645,0.5623268655053293
train,19,0.3218636214733124,100,100,100,0.3218636214733124,0.9291472585874339,0.9446873822785242,0.9538862030494608,0.7763317191283293,0.9624697336561744,0.8559986601619483
valid,19,0.7416594624519348,100,100,100,0.7416594624519348,0.6729379389958376,0.748886376755574,0.871244635193133,0.4092741935483871,0.9395161290322581,0.5569272933188069
train,20,0.31706809997558594,100,100,100,0.31706809997558594,0.9304845106672373,0.9455993660737201,0.9524686809137805,0.7823849878934624,0.960956416464891,0.8590893935193115
valid,20,0.6766002774238586,100,100,100,0.6766002774238586,0.6611541525754423,0.7428410075881193,0.9421052631578948,0.36088709677419356,0.9778225806451613,0.5218658852076942
train,21,0.3030259907245636,100,100,100,0.3030259907245636,0.935195076845734,0.949290689183624,0.9590925994793603,0.7805690072639225,0.9667070217917676,0.8606707776323305
valid,21,0.7799328565597534,100,100,100,0.7799328565597534,0.6874817085067637,0.7625621924957808,0.9285714285714286,0.44556451612903225,0.9657258064516129,0.6021798321300181
