Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,0.6955392360687256,100,100,100,0.6955392360687256,0.5090389404880405,0.5091044117252018,0.5121659353809334,0.4317417619367855,0.5887693342299932,0.4685276359777322
valid,1,0.7060686349868774,100,100,100,0.7060686349868774,0.48031515105323946,0.4746093409333395,0.5003088326127239,0.9806295399515739,0.020581113801452784,0.6625766826425316
train,2,0.6856327056884766,100,100,100,0.6856327056884766,0.5647044617575591,0.5611777301259371,0.5413804383382401,0.5564895763281775,0.5285810356422327,0.5488310346295326
valid,2,0.6873651742935181,100,100,100,0.6873651742935181,0.5942345912797753,0.5801664036070885,0.5717703349282297,0.28934624697336564,0.7832929782082324,0.3842443685281894
train,3,0.6237497925758362,100,100,100,0.6237497925758362,0.7011451295672108,0.7082590893440497,0.6466666666666666,0.6197041022192333,0.6613987895090787,0.6328983466506182
valid,3,0.6838142275810242,100,100,100,0.6838142275810242,0.6696762014199531,0.6729847794252879,0.7466666666666667,0.3389830508474576,0.8849878934624698,0.4662780972870929
train,4,0.5641807913780212,100,100,100,0.5641807913780212,0.7764593072714026,0.7870151938453108,0.7094076655052265,0.6845998655010087,0.7195696032279758,0.6967830203267034
valid,4,0.6833612322807312,100,100,100,0.6833612322807312,0.6985530782264069,0.690474011570491,0.7458677685950413,0.437046004842615,0.851089588377724,0.5511450335087235
train,5,0.5286705493927002,100,100,100,0.5286705493927002,0.8101003360665784,0.8252935721740932,0.7419696434874691,0.7067921990585071,0.7542030934767989,0.7239538438061165
valid,5,0.6907224655151367,100,100,100,0.6907224655151367,0.6904390598526109,0.6823918309285772,0.7117750439367311,0.49031476997578693,0.801452784503632,0.580645156460025
train,6,0.4959893822669983,100,100,100,0.4959893822669983,0.8371853304745138,0.8527128506735363,0.7815929203539823,0.7424344317417619,0.7925353059852052,0.7615106002800729
valid,6,0.696074366569519,100,100,100,0.696074366569519,0.7136965099168078,0.6980199950932948,0.7504215851602024,0.5387409200968523,0.8208232445520581,0.6272022502440404
train,7,0.4742726981639862,100,100,100,0.4742726981639862,0.8531789067230954,0.869008941487382,0.7918552036199095,0.7649630127774042,0.7989240080699395,0.7781768378268726
valid,7,0.7394106984138489,100,100,100,0.7394106984138489,0.7049932871741055,0.7104930962833638,0.7564870259481038,0.45883777239709445,0.8523002421307506,0.5712132582991591
train,8,0.4518389105796814,100,100,100,0.4518389105796814,0.8657811772867655,0.8870945283451173,0.8057807543179415,0.7686617350369872,0.8147276395427034,0.7867836811153244
