Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,0.6949153542518616,100,100,100,0.6949153542518616,0.5058580033943434,0.5067097733774922,0.5030364372469636,0.602606850560776,0.4046680812367384,0.5483381552943091
valid,1,0.6931206583976746,100,100,100,0.6931206583976746,0.5275955075876191,0.5228686208376103,0.5053648068669528,0.9401197604790419,0.07984031936127745,0.6573621727028294
train,2,0.665617048740387,100,100,100,0.665617048740387,0.632266513013717,0.629313959180928,0.6019184652278178,0.5325856320096999,0.6477720521370112,0.5651334784538621
valid,2,0.7339966297149658,100,100,100,0.7339966297149658,0.5637049254783846,0.5353793884895797,0.5625,0.19760479041916168,0.846307385229541,0.2924667612926086
train,3,0.5991906523704529,100,100,100,0.5991906523704529,0.739551634640679,0.7495581837292818,0.69194010831475,0.6583813276750531,0.7068808729918157,0.6747437042295562
valid,3,0.7501214742660522,100,100,100,0.7501214742660522,0.569551515731013,0.5740927305596333,0.6105263157894737,0.3473053892215569,0.7784431137724551,0.4427480869806539
train,4,0.5628472566604614,100,100,100,0.5628472566604614,0.7777088706002838,0.7936762563451598,0.7228954081632653,0.6871779327068809,0.7365868444983328,0.7045842995875128
valid,4,0.7559131979942322,100,100,100,0.7559131979942322,0.5786271767841562,0.5955480904911612,0.6182965299684543,0.3912175648702595,0.7584830339321357,0.47921759916496803
train,5,0.5189434885978699,100,100,100,0.5189434885978699,0.8142438195560378,0.8372137381222818,0.7789332438778933,0.703849651409518,0.8002424977265838,0.7394904408726932
valid,5,0.7914336323738098,100,100,100,0.7914336323738098,0.5859498567734789,0.5926947362221751,0.6025236593059937,0.3812375249500998,0.7485029940119761,0.4669926602896623
train,6,0.49723201990127563,100,100,100,0.49723201990127563,0.8303524789723359,0.8531813708659355,0.7866178428761651,0.7162776598969385,0.8056986965747196,0.7498016767498071
valid,6,0.8591418266296387,100,100,100,0.8591418266296387,0.5879817211883618,0.5879502676253089,0.6382113821138211,0.313373253493014,0.8223552894211577,0.4203480544849276
train,7,0.4828231930732727,100,100,100,0.4828231930732727,0.840346965070937,0.866781093045967,0.8106267029972752,0.7214307365868445,0.8314640800242498,0.763432232386635
