Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,,,,,0.22975848615169525,0.6350722678854778,0.8720055079390929,0.8829715061058344,0.43441255006675566,0.7419596110695588,0.582326617503612
valid,1,,,,,0.18459957838058472,0.7010651017276768,0.9072214524939791,0.8728103579588729,0.7650200267022697,0.5014925373134328,0.8153681913930548
test,1,,,,,0.18459957838058472,0.7010651017276768,0.9072214524939791,0.8728103579588729,0.7650200267022697,0.5014925373134328,0.8153681913930548
train,2,,,,,0.2077590674161911,0.6909991182459185,0.8997197470016638,0.901712111604312,0.47463284379172227,0.7681376215407629,0.6219112135002351
valid,2,,,,,0.3336523771286011,0.7090777753422475,0.9066014608084748,0.953125,0.04072096128170895,0.991044776119403,0.07810499281206504
test,2,,,,,0.3336523771286011,0.7090777753422475,0.9066014608084748,0.953125,0.04072096128170895,0.991044776119403,0.07810499281206504
train,3,,,,,0.1984562873840332,0.7173968182957482,0.9125955814976936,0.9198966408268734,0.4753004005340454,0.8145100972326104,0.626760558888009
valid,3,,,,,0.2429400086402893,0.7062541099575553,0.9036146707279864,0.9013785790031813,0.5674232309746329,0.7223880597014926,0.6964358821900616
test,3,,,,,0.2429400086402893,0.7062541099575553,0.9036146707279864,0.9013785790031813,0.5674232309746329,0.7223880597014926,0.6964358821900616
train,4,,,,,0.19999971985816956,0.715446698814575,0.9103334551928466,0.9167694204685574,0.496328437917223,0.7980553477935677,0.6440017277942922
valid,4,,,,,0.1991232931613922,0.7103252097323796,0.9049694478105916,0.886762360446571,0.7423230974632844,0.5761194029850746,0.8081395299230265
test,4,,,,,0.1991232931613922,0.7103252097323796,0.9049694478105916,0.886762360446571,0.7423230974632844,0.5761194029850746,0.8081395299230265
train,5,,,,,0.19741179049015045,0.7291680605304705,0.9158791023770361,0.9242649242649242,0.5193591455273698,0.8092744951383695,0.6650283103842594
valid,5,,,,,0.2345978021621704,0.717146244744236,0.9097203941674031,0.891465677179963,0.6415220293724967,0.6507462686567164,0.7461180075552764
test,5,,,,,0.2345978021621704,0.717146244744236,0.9097203941674031,0.891465677179963,0.6415220293724967,0.6507462686567164,0.7461180075552764
train,6,,,,,0.1922597438097,0.7488433218861749,0.9221498497442571,0.934176487496407,0.5423898531375166,0.8287210172026926,0.6863055597063615
valid,6,,,,,0.18561379611492157,0.709747324791264,0.9041160566302306,0.8836336336336337,0.7857142857142857,0.5373134328358209,0.8318021151585462
test,6,,,,,0.18561379611492157,0.709747324791264,0.9041160566302306,0.8836336336336337,0.7857142857142857,0.5373134328358209,0.8318021151585462
train,7,,,,,0.1870841532945633,0.7567821667983141,0.9284720481177933,0.9286328460877042,0.540720961281709,0.8137621540762902,0.6834722029215253
valid,7,,,,,0.2071804255247116,0.7157055178048344,0.9085499628908205,0.8909836065573771,0.725634178905207,0.6029850746268657,0.7998528280177231
test,7,,,,,0.2071804255247116,0.7157055178048344,0.9085499628908205,0.8909836065573771,0.725634178905207,0.6029850746268657,0.7998528280177231
train,8,,,,,0.18528924882411957,0.7669267075622146,0.9320705835701218,0.932068206820682,0.5655874499332443,0.8152580403889305,0.7039883625615497
valid,8,,,,,0.1714324653148651,0.713706832991252,0.9082511362864343,0.8711960368011323,0.821762349799733,0.45671641791044776,0.8457574666634867
test,8,,,,,0.1714324653148651,0.713706832991252,0.9082511362864343,0.8711960368011323,0.821762349799733,0.45671641791044776,0.8457574666634867
train,9,,,,,0.17281033098697662,0.8002231596753786,0.9450395426992099,0.9472579375491997,0.6024699599465955,0.8496634255796559,0.7365092271152888
valid,9,,,,,0.38379019498825073,0.7168891855807744,0.9069163991550075,0.9487870619946092,0.2349799732977303,0.9432835820895522,0.37667201393947775
test,9,,,,,0.38379019498825073,0.7168891855807744,0.9069163991550075,0.9487870619946092,0.2349799732977303,0.9432835820895522,0.37667201393947775
train,10,,,,,0.16448478400707245,0.8209851979153456,0.9524642582424863,0.9526490913744561,0.6211615487316422,0.8616305160807779,0.7519951462471756
valid,10,,,,,0.2373906373977661,0.6968027021102763,0.8974806597193885,0.8937768240343348,0.5560747663551402,0.7044776119402985,0.685596703090193
test,10,,,,,0.2373906373977661,0.6968027021102763,0.8974806597193885,0.8937768240343348,0.5560747663551402,0.7044776119402985,0.685596703090193
train,11,,,,,0.16131897270679474,0.8336232153966445,0.9564506368675592,0.9533007334963325,0.6507009345794392,0.8571428571428571,0.7734576424701537
valid,11,,,,,0.35014864802360535,0.6985423350537033,0.9005590312608326,0.9166666666666666,0.22763684913217624,0.9074626865671642,0.3647058791657984
test,11,,,,,0.35014864802360535,0.6985423350537033,0.9005590312608326,0.9166666666666666,0.22763684913217624,0.9074626865671642,0.3647058791657984
train,12,,,,,0.14685150980949402,0.8614474622358608,0.9657496379539898,0.9604122745373623,0.6842456608811749,0.8735976065818998,0.7991423789242382
valid,12,,,,,0.2718876600265503,0.7107098021242253,0.9039957686758162,0.8923933209647495,0.6421895861148198,0.6537313432835821,0.7468944050708041
test,12,,,,,0.2718876600265503,0.7107098021242253,0.9039957686758162,0.8923933209647495,0.6421895861148198,0.6537313432835821,0.7468944050708041
train,13,,,,,0.14048244059085846,0.8748753011994053,0.9694572495688502,0.9649083088068825,0.7112817089452603,0.8840688107703815,0.8189067104569677
valid,13,,,,,0.24697014689445496,0.7129635533945758,0.9041118756125421,0.8944543828264758,0.6675567423230975,0.6477611940298508,0.7645259889892944
test,13,,,,,0.24697014689445496,0.7129635533945758,0.9041118756125421,0.8944543828264758,0.6675567423230975,0.6477611940298508,0.7645259889892944
train,14,,,,,0.1298198252916336,0.8950616528844741,0.9751305749197148,0.9714596949891068,0.7441588785046729,0.9020194465220643,0.8427518378396097
valid,14,,,,,0.19124461710453033,0.6802472949006636,0.8910208984924624,0.8686868686868687,0.8037383177570093,0.45671641791044776,0.8349514513182205
test,14,,,,,0.19124461710453033,0.6802472949006636,0.8910208984924624,0.8686868686868687,0.8037383177570093,0.45671641791044776,0.8349514513182205
train,15,,,,,0.1169334203004837,0.9134247058905767,0.980052504388863,0.9751996637242539,0.774365821094793,0.9117427075542259,0.8632558090193729
valid,15,,,,,0.23694978654384613,0.7212153518123667,0.9101029205734507,0.8939034045922407,0.7536715620827771,0.6,0.8178196256048567
test,15,,,,,0.23694978654384613,0.7212153518123667,0.9101029205734507,0.8939034045922407,0.7536715620827771,0.6,0.8178196256048567
train,16,,,,,0.1119793951511383,0.9187821358420551,0.9812960231132242,0.9771918811466834,0.7793724966622163,0.9184741959611069,0.8671432501000857
