Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,,,,,0.1579013466835022,0.647533722350319,0.8746111009998454,0.8313374693406435,0.9616154873164219,0.1256544502617801,0.8917433982609413
valid,1,,,,,0.16466405987739563,0.6836388816930037,0.8790005978071107,0.8195282501371366,0.9973297730307076,0.01791044776119403,0.899728992337858
test,1,,,,,0.16466405987739563,0.6836388816930037,0.8790005978071107,0.8195282501371366,0.9973297730307076,0.01791044776119403,0.899728992337858
train,2,,,,,0.14669911563396454,0.6966030748552297,0.8936954205130876,0.8369973965866359,0.9657877169559412,0.15706806282722513,0.8967921847047371
valid,2,,,,,0.1478663980960846,0.6924376780981606,0.8804860292598702,0.8272778088317496,0.9879839786381842,0.07761194029850746,0.9005171839652608
test,2,,,,,0.1478663980960846,0.6924376780981606,0.8804860292598702,0.8272778088317496,0.9879839786381842,0.07761194029850746,0.9005171839652608
train,3,,,,,0.14040951430797577,0.7277468811569252,0.9097878159887443,0.833998859098688,0.9759679572763685,0.1293941660433807,0.8994155594724724
valid,3,,,,,0.15143413841724396,0.6953589861108345,0.8836628545351337,0.817586018569088,0.9993324432576769,0.0029850746268656717,0.8993691749839442
test,3,,,,,0.15143413841724396,0.6953589861108345,0.8836628545351337,0.817586018569088,0.9993324432576769,0.0029850746268656717,0.8993691749839442
train,4,,,,,0.13622653484344482,0.7516788777457453,0.9176682632780234,0.8413544668587897,0.9744659546061415,0.17651458489154825,0.9030312353609244
valid,4,,,,,0.14924435317516327,0.7029233007193672,0.8925277867681389,0.8491823137492429,0.9359145527369827,0.25671641791044775,0.890441404983223
test,4,,,,,0.14924435317516327,0.7029233007193672,0.8925277867681389,0.8491823137492429,0.9359145527369827,0.25671641791044775,0.890441404983223
train,5,,,,,0.13439831137657166,0.7607557396398889,0.923149396919835,0.8476551121468103,0.9712950600801068,0.21765145848915482,0.9052729768243151
valid,5,,,,,0.14748719334602356,0.6990594424406671,0.8894412711345006,0.827334083239595,0.9819759679572764,0.08358208955223881,0.8980463930829238
test,5,,,,,0.14748719334602356,0.6990594424406671,0.8894412711345006,0.827334083239595,0.9819759679572764,0.08358208955223881,0.8980463930829238
train,6,,,,,0.1332300454378128,0.7656181815095271,0.9252500455972595,0.851197429906542,0.9727970627503337,0.23784592370979807,0.9079439202558672
valid,6,,,,,0.15071198344230652,0.6955821692605065,0.892196807219438,0.8325635103926097,0.9626168224299065,0.13432835820895522,0.8928792519921862
test,6,,,,,0.15071198344230652,0.6955821692605065,0.892196807219438,0.8325635103926097,0.9626168224299065,0.13432835820895522,0.8928792519921862
train,7,,,,,0.1282123625278473,0.7893158217438758,0.9318227230726378,0.8561097992916175,0.9681241655540721,0.2707554225878833,0.9086779398810074
valid,7,,,,,0.184731587767601,0.7063975848394874,0.8925923031967844,0.8176855895196506,1.0,0.0029850746268656717,0.8996996947500006
test,7,,,,,0.184731587767601,0.7063975848394874,0.8925923031967844,0.8176855895196506,1.0,0.0029850746268656717,0.8996996947500006
train,8,,,,,0.12573908269405365,0.8059710379234142,0.9427426523167157,0.8569514736528728,0.960781041388518,0.281226626776365,0.9059008604765812
