Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,,,,,0.16068816184997559,0.6480775788810411,0.8207536248262894,0.8309982486865148,0.9502670226969292,0.1338818249813014,0.8866396711357768
valid,1,,,,,0.15284745395183563,0.6804367090498142,0.7410769719216889,0.830316742081448,0.9793195463642428,0.1044776119402985,0.8986838028086152
test,1,,,,,0.15284745395183563,0.6804367090498142,0.7410769719216889,0.830316742081448,0.9793195463642428,0.1044776119402985,0.8986838028086152
train,2,,,,,0.14737966656684875,0.6936818275776327,0.8145875547642676,0.8363740841833069,0.9716288384512684,0.1480927449513837,0.8989423249901529
valid,2,,,,,0.14822813868522644,0.6948881343781427,0.7410769668202737,0.8182813355227149,0.9973315543695798,0.008955223880597015,0.8989777461009417
test,2,,,,,0.14822813868522644,0.6948881343781427,0.7410769668202737,0.8182813355227149,0.9973315543695798,0.008955223880597015,0.8989777461009417
train,3,,,,,0.14086948335170746,0.7251099820952993,0.8178858043943003,0.835356275881765,0.9763017356475301,0.137621540762902,0.900346282063738
valid,3,,,,,0.1504574865102768,0.6897264843228819,0.7410769588351127,0.8448586891160553,0.9372915276851234,0.2298507462686567,0.888678046879358
test,3,,,,,0.1504574865102768,0.6897264843228819,0.7410769588351127,0.8448586891160553,0.9372915276851234,0.2298507462686567,0.888678046879358
train,4,,,,,0.1380525827407837,0.7424995356561179,0.8300765907208498,0.8408731868447509,0.9771361815754339,0.1712789827973074,0.9038981038663753
valid,4,,,,,0.1757259964942932,0.6814005356805034,0.7410773072492675,0.817785051827605,1.0,0.0029850746268656717,0.899759899011825
test,4,,,,,0.1757259964942932,0.6814005356805034,0.7410773072492675,0.817785051827605,1.0,0.0029850746268656717,0.899759899011825
train,5,,,,,0.13701777160167694,0.7541277300174853,0.8210176736113557,0.84490505870416,0.9727970627503337,0.19970082273747194,0.9043518684247985
valid,5,,,,,0.15524029731750488,0.6304292413848038,0.7410768797946509,0.8182813355227149,0.9973315543695798,0.008955223880597015,0.8989777461009417
test,5,,,,,0.15524029731750488,0.6304292413848038,0.7410768797946509,0.8182813355227149,0.9973315543695798,0.008955223880597015,0.8989777461009417
train,6,,,,,0.13329824805259705,0.7651477836816578,0.8268091857707325,0.8509706612173406,0.9729639519359146,0.23635003739715782,0.9078875602329884
valid,6,,,,,0.14807547628879547,0.6883703563569743,0.7410769699430229,0.82281284606866,0.9913275517011341,0.04477611940298507,0.8992435653911
test,6,,,,,0.14807547628879547,0.6883703563569743,0.7410769699430229,0.82281284606866,0.9913275517011341,0.04477611940298507,0.8992435653911
train,7,,,,,0.13027197122573853,0.7801571379640568,0.8141380524915267,0.8505629477993859,0.9707943925233645,0.2356020942408377,0.9067103059874182
valid,7,,,,,0.15353195369243622,0.6875409476964743,0.7410771362904303,0.8442573662056524,0.9366244162775184,0.22686567164179106,0.8880455358104145
test,7,,,,,0.15353195369243622,0.6875409476964743,0.7410771362904303,0.8442573662056524,0.9366244162775184,0.22686567164179106,0.8880455358104145
train,8,,,,,0.125637024641037,0.8039040835299722,0.8215002596171854,0.858203414996288,0.9646194926568759,0.2857142857142857,0.9083051729851404
valid,8,,,,,0.164286270737648,0.6786902711260243,0.7410769764598995,0.8187294633077765,0.9973315543695798,0.011940298507462687,0.8992481153491114
test,8,,,,,0.164286270737648,0.6786902711260243,0.7410769764598995,0.8187294633077765,0.9973315543695798,0.011940298507462687,0.8992481153491114
train,9,,,,,0.12078540027141571,0.8242629414637117,0.8197892057614565,0.8653441538923956,0.9609479305740988,0.3298429319371728,0.9106436768103174
valid,9,,,,,0.15841929614543915,0.6912020949289577,0.7410769778738672,0.8231673195299385,0.981320880587058,0.056716417910447764,0.8953134460426685
test,9,,,,,0.15841929614543915,0.6912020949289577,0.7410769778738672,0.8231673195299385,0.981320880587058,0.056716417910447764,0.8953134460426685
train,10,,,,,0.11746002733707428,0.8360183310981583,0.8105666452287267,0.8690260133091349,0.9589452603471295,0.35228122662677636,0.9117740349994043
valid,10,,,,,0.17445579171180725,0.6858572381587724,0.7410769772273348,0.8238604389420371,0.9766511007338226,0.06567164179104477,0.8937728888088995
test,10,,,,,0.17445579171180725,0.6858572381587724,0.7410769772273348,0.8238604389420371,0.9766511007338226,0.06567164179104477,0.8937728888088995
train,11,,,,,0.11136040091514587,0.8568941460716007,0.8213522704175595,0.879312988805398,0.9569425901201603,0.4113687359760658,0.9164868486811174
valid,11,,,,,0.16716274619102478,0.6917457409417223,0.7410769605548913,0.8359420289855073,0.961974649766511,0.15522388059701492,0.8945409379526092
test,11,,,,,0.16716274619102478,0.6917457409417223,0.7410769605548913,0.8359420289855073,0.961974649766511,0.15522388059701492,0.8945409379526092
train,12,,,,,0.1057085171341896,0.8732001681623864,0.8131652642890255,0.8842364532019704,0.9586114819759679,0.43754674644727,0.9199231212092972
valid,12,,,,,0.1679871678352356,0.6824559656686546,0.7410769667117629,0.8517350157728707,0.9006004002668445,0.29850746268656714,0.8754863763268453
test,12,,,,,0.1679871678352356,0.6824559656686546,0.7410769667117629,0.8517350157728707,0.9006004002668445,0.29850746268656714,0.8754863763268453
train,13,,,,,0.10151360929012299,0.8866652669777604,0.8216470038773197,0.8945886768845793,0.9546061415220294,0.49588631264023936,0.9236234408311995
valid,13,,,,,0.16602012515068054,0.6626576921928051,0.7410769854315815,0.8361714621256606,0.9499666444296198,0.16716417910447762,0.8894440924593956
