Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,,,,,0.12680402398109436,0.5429166994290217,0.8953579965001522,0.887352174784526,0.9950550685547314,0.007067137809187279,0.9381224785933971
valid,1,,,,,0.13263386487960815,0.5975402776370452,0.7222382514602166,0.886762360446571,1.0,0.0,0.9399830888472579
test,1,,,,,0.2812484800815582,0.46018075591770047,0.6633835291528494,0.6668970283344852,1.0,0.0,0.8001658326789389
train,2,,,,,0.11725905537605286,0.6466337772334594,0.8881521553315681,0.8876607717041801,0.9928073724432457,0.012367491166077738,0.9372944247238554
valid,2,,,,,0.13173305988311768,0.6512279612929375,0.7222388981292809,0.886762360446571,1.0,0.0,0.9399830888472579
test,2,,,,,0.3000068962574005,0.4151148603616194,0.6633825425387381,0.6664359861591695,0.9979274611398964,0.0,0.7991701196796716
train,3,,,,,0.11028898507356644,0.6974192000902255,0.8820301526321472,0.8893344025661588,0.9970779950550686,0.024734982332155476,0.940129273388675
valid,3,,,,,0.17175941169261932,0.6670445333873746,0.7222382514602166,0.9177403369672944,0.8327338129496403,0.4154929577464789,0.8731730266006646
test,3,,,,,0.2578997015953064,0.4281058521273622,0.6633865379478625,0.6307966706302022,0.549740932642487,0.3558091286307054,0.5874861522771702
train,4,,,,,0.10502945631742477,0.7359378015625857,0.880997370774189,0.8933117801576076,0.9937064508878399,0.06713780918727916,0.9408384712856999
valid,4,,,,,0.11647836118936539,0.6708759752761171,0.7222382514602166,0.8866719872306464,0.9991007194244604,0.0,0.9395348787387027
test,4,,,,,0.2590036988258362,0.4215146840668201,0.6633852336030254,0.6644055694394859,0.9642487046632124,0.024896265560165973,0.7867258459409802
train,5,,,,,0.1016087755560875,0.7633406323889038,0.8759904775132932,0.8946515397082658,0.9925826028320971,0.0812720848056537,0.9410761804157012
valid,5,,,,,0.12015897780656815,0.6435239132637552,0.7222382514602166,0.8872,0.9973021582733813,0.007042253521126761,0.9390347113591504
test,5,,,,,0.27088606357574463,0.4278999957001269,0.6633845037076822,0.6614658925979681,0.944559585492228,0.032157676348547715,0.778062308428936
train,6,,,,,0.09670952707529068,0.7977154909150982,0.8887519873820542,0.8973314320635567,0.9901101371094628,0.10954063604240283,0.9414404737468539
valid,6,,,,,0.12245101481676102,0.6740361232141048,0.7222382514602166,0.8938640132669984,0.9694244604316546,0.09859154929577464,0.9301121606682742
