Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,0.7873901128768921,100,100,100,0.7873901128768921,0.6093712371099657,0.866782489716329,0.878516228748068,0.4743782340176932,0.706058339566193,0.616084972684411
valid,1,0.7053259015083313,100,100,100,0.7053259015083313,0.644182688956817,0.8670858676728688,0.8843721770551038,0.6531020680453635,0.6179104477611941,0.7513430496027733
train,2,0.7363952994346619,100,100,100,0.7363952994346619,0.6238501357121696,0.8713193232773473,0.8814589665653495,0.4840594224670339,0.7083021690351533,0.6249326535422141
valid,2,0.8049257397651672,100,100,100,0.8049257397651672,0.6418308723228421,0.8636971804202769,0.8697674418604651,0.3742494996664443,0.7492537313432835,0.5233208913156858
train,3,0.7200696468353271,100,100,100,0.7200696468353271,0.6209043682701814,0.865664836638136,0.8788947677836567,0.49908195626773494,0.6918474195961107,0.6366443049721113
valid,3,1.0409176349639893,100,100,100,1.0409176349639893,0.632859717423556,0.87008247394169,0.8754448398576512,0.16410940627084722,0.8955223880597015,0.27640449172314735
train,4,0.6952657699584961,100,100,100,0.6952657699584961,0.6406021398090653,0.8747497829392854,0.8859138533178114,0.5080954765481556,0.7068062827225131,0.645804599164889
valid,4,0.6391919851303101,100,100,100,0.6391919851303101,0.6417273207013632,0.8732603332760607,0.8868378812199037,0.7371581054036024,0.5791044776119403,0.8051001771918369
train,5,0.6817303895950317,100,100,100,0.6817303895950317,0.6500568604090379,0.8800994611417206,0.8841339155749636,0.5069270572525455,0.7023186237845924,0.644387858724325
valid,5,0.7534828782081604,100,100,100,0.7534828782081604,0.6389772286001613,0.870000061780001,0.8774341351660939,0.5110073382254836,0.6805970149253732,0.6458684607782654
train,6,0.6678606271743774,100,100,100,0.6678606271743774,0.6562995203351025,0.8786709291728686,0.8905380333951762,0.48072108162243365,0.7352281226626777,0.6243902393490309
valid,6,0.5943282842636108,100,100,100,0.5943282842636108,0.6516662849860105,0.877035708405411,0.8864908073541167,0.7398265510340227,0.5761194029850746,0.8065454495861184
train,7,0.6675930619239807,100,100,100,0.6675930619239807,0.6581224991313946,0.8800511201796732,0.8879544221378187,0.5463194792188283,0.6910994764397905,0.6764493080872359
valid,7,0.5579463839530945,100,100,100,0.5579463839530945,0.6800653171766252,0.8842704307433349,0.8857142857142857,0.7444963308872582,0.5701492537313433,0.8089887590824638
train,8,0.6545009016990662,100,100,100,0.6545009016990662,0.665183327222197,0.8793774662226939,0.8912271112325773,0.5443164747120681,0.7023186237845924,0.675854917571786
valid,8,0.7465144395828247,100,100,100,0.7465144395828247,0.6452759551143548,0.8694062330362831,0.8757539203860072,0.48432288192128087,0.6925373134328359,0.6237113356203319
train,9,0.64593106508255,100,100,100,0.64593106508255,0.6649537382613436,0.8806004993688397,0.8874692874692874,0.6029043565348022,0.6574420344053852,0.7180200727093663
valid,9,0.7933372855186462,100,100,100,0.7933372855186462,0.6469785827367498,0.8681160770079082,0.8771750255885363,0.571714476317545,0.6417910447761194,0.6922455525727991
train,10,0.6458876729011536,100,100,100,0.6458876729011536,0.6696161170202073,0.8826533628487729,0.8862569832402235,0.6619929894842264,0.6192969334330591,0.7578826627907476
valid,10,0.8368067145347595,100,100,100,0.8368067145347595,0.6462049326416616,0.8713308469948355,0.8899755501222494,0.2428285523682455,0.8656716417910447,0.38155135931523565
train,11,0.6396588087081909,100,100,100,0.6396588087081909,0.6639524856968825,0.8797408279776103,0.8894759087066779,0.7025538307461192,0.6088257292445775,0.7850414946492683
valid,11,0.5613905191421509,100,100,100,0.5613905191421509,0.6899803849332391,0.8900663535709263,0.887390959555908,0.7464976651100734,0.5761194029850746,0.810869560254571
train,12,0.6432815194129944,100,100,100,0.6432815194129944,0.658626808325178,0.8762334015796432,0.8860229276895943,0.670839592722417,0.6133133881824981,0.7635603636715609
valid,12,0.7542822957038879,100,100,100,0.7542822957038879,0.6624495932611791,0.8761562163072544,0.8820116054158608,0.6084056037358239,0.6358208955223881,0.7200947444776218
train,13,0.6381164193153381,100,100,100,0.6381164193153381,0.6678362095624114,0.8795264256423893,0.8865659283792175,0.7149056918711401,0.5901271503365744,0.7915357555453426
