Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,0.6570166349411011,100,100,100,0.6570166349411011,0.6462397047583126,0.8737408022052665,0.8861485517636937,0.5156875834445928,0.703288490284006,0.6519675024701932
valid,1,0.9766541719436646,100,100,100,0.9766541719436646,0.6682952519527035,0.8830132222505774,1.0,0.0033377837116154874,1.0,0.006653359880460858
train,2,0.641939103603363,100,100,100,0.641939103603363,0.6614951599641575,0.8746486691705009,0.8900500762029174,0.6822429906542056,0.6225710014947683,0.7724137881907904
valid,2,1.03179132938385,100,100,100,1.03179132938385,0.6401109663183646,0.8712902415560106,1.0,0.0033377837116154874,1.0,0.006653359880460858
train,3,0.641890823841095,100,100,100,0.641890823841095,0.6597889737387768,0.8786395166052258,0.8864414029084687,0.6917556742323098,0.6031390134529148,0.7770903587806249
valid,3,0.953275203704834,100,100,100,0.953275203704834,0.6649085007554982,0.8793826579641112,1.0,0.0033377837116154874,1.0,0.006653359880460858
train,4,0.639298141002655,100,100,100,0.639298141002655,0.6618486457279362,0.8751216538579343,0.8860232945091514,0.7109479305740988,0.5904334828101644,0.7888888839489822
valid,4,0.6486780047416687,100,100,100,0.6486780047416687,0.6581929598746432,0.8801442599666529,0.8874700718276137,0.7423230974632844,0.5778443113772455,0.8084332920225725
train,5,0.6357353329658508,100,100,100,0.6357353329658508,0.6629914250390656,0.8792081512545963,0.8888184316212218,0.7017690253671562,0.6068759342301944,0.7842954347781828
valid,5,0.7963285446166992,100,100,100,0.7963285446166992,0.6808339262729548,0.8893951767879067,0.896414342629482,0.15020026702269693,0.9221556886227545,0.2572898774730836
train,6,0.6410736441612244,100,100,100,0.6410736441612244,0.6592001842017557,0.8757125415193763,0.8861202635914333,0.7181241655540721,0.5866965620328849,0.7933259537568962
valid,6,0.7928251624107361,100,100,100,0.7928251624107361,0.6728462301032115,0.8872722728655084,0.908695652173913,0.13951935914552738,0.937125748502994,0.2418981458404332
train,7,0.6410946846008301,100,100,100,0.6410946846008301,0.6610737585340494,0.8743434931503344,0.8865792129162462,0.7331441922563418,0.5799701046337817,0.8025943131228803
valid,7,0.6720004081726074,100,100,100,0.6720004081726074,0.6551839578519864,0.8773365812461686,0.8874700718276137,0.7423230974632844,0.5778443113772455,0.8084332920225725
train,8,0.6382001042366028,100,100,100,0.6382001042366028,0.6632985111189609,0.8772955926056882,0.8869529983792545,0.7306408544726302,0.5829596412556054,0.8012445045635268
valid,8,0.7305059432983398,100,100,100,0.7305059432983398,0.6730960642133623,0.8835851086604918,0.8874700718276137,0.7423230974632844,0.5778443113772455,0.8084332920225725
train,9,0.6393559575080872,100,100,100,0.6393559575080872,0.6617897106455843,0.8741976554572781,0.8875680032238565,0.7351468624833111,0.5829596412556054,0.8041989909364007
valid,9,0.6743292808532715,100,100,100,0.6743292808532715,0.6599268085990904,0.8779940684882079,0.8874700718276137,0.7423230974632844,0.5778443113772455,0.8084332920225725
train,10,0.6358906626701355,100,100,100,0.6358906626701355,0.666418952225289,0.8801502787964015,0.8867132867132868,0.7406542056074766,0.5762331838565022,0.8071292120994751
valid,10,0.6644011735916138,100,100,100,0.6644011735916138,0.6637043003445711,0.8763164240805933,0.8874700718276137,0.7423230974632844,0.5778443113772455,0.8084332920225725
train,11,0.6349047422409058,100,100,100,0.6349047422409058,0.6614071627142118,0.8751882223920536,0.8868569131832797,0.7364819759679573,0.5792227204783259,0.8047045902289002
valid,11,0.7591044902801514,100,100,100,0.7591044902801514,0.6762279846182135,0.8853302657096647,0.8880895283772982,0.7416555407209613,0.5808383233532934,0.8082939201040255
train,12,0.6360785961151123,100,100,100,0.6360785961151123,0.666906024175732,0.8778322848541644,0.8871681415929203,0.7361481975967957,0.5807174887892377,0.8046333405376197
valid,12,0.7423987984657288,100,100,100,0.7423987984657288,0.6582749054627728,0.8719446998128313,0.8874700718276137,0.7423230974632844,0.5778443113772455,0.8084332920225725
train,13,0.6394659876823425,100,100,100,0.6394659876823425,0.6623307284650586,0.8772719450729837,0.8867658889782783,0.7358144192256342,0.5792227204783259,0.8042685101837342
valid,13,0.7083864808082581,100,100,100,0.7083864808082581,0.662948801995475,0.8778717902352922,0.8874700718276137,0.7423230974632844,0.5778443113772455,0.8084332920225725
train,14,0.633258581161499,100,100,100,0.633258581161499,0.6659225878650357,0.8769163323465962,0.8872030345378319,0.7416555407209613,0.577727952167414,0.8079265471715464
valid,14,0.8365296125411987,100,100,100,0.8365296125411987,0.6668402180951848,0.8809621256758201,0.8857758620689655,0.27436582109479307,0.8413173652694611,0.41896024103703294
train,15,0.6346253156661987,100,100,100,0.6346253156661987,0.667088941209106,0.8754958982889843,0.8867093674939952,0.7393190921228304,0.5769805680119582,0.8063341777858944
valid,15,0.767394483089447,100,100,100,0.767394483089447,0.6636833142793186,0.8773180190529208,0.8874700718276137,0.7423230974632844,0.5778443113772455,0.8084332920225725
test,-1,0.7963285446166992,100,100,100,0.7963285446166992,0.6808339262729548,0.8893951767879067,0.896414342629482,0.15020026702269693,0.9221556886227545,0.2572898774730836
