Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,0.6550284028053284,100,100,100,0.6550284028053284,0.6484655307051137,0.8738985507098525,0.8880222841225627,0.5320427236315087,0.6993268511593119,0.6654143138280786
valid,1,0.9421083331108093,100,100,100,0.9421083331108093,0.6262070820795886,0.8690686420280183,1.0,0.0033377837116154874,1.0,0.006653359880460858
train,2,0.645527184009552,100,100,100,0.645527184009552,0.658503347270307,0.8754320640772097,0.8878420816509646,0.660547396528705,0.6260284218399401,0.757511956830231
valid,2,0.8823700547218323,100,100,100,0.8823700547218323,0.6461550724348883,0.8744671037344032,1.0,0.0033377837116154874,1.0,0.006653359880460858
train,3,0.6428269743919373,100,100,100,0.6428269743919373,0.6552666706943089,0.8718984754903687,0.8871001906375768,0.6989319092122831,0.6013462976813763,0.7818538175290736
valid,3,0.8577353358268738,100,100,100,0.8577353358268738,0.642372915130622,0.874169646925564,1.0,0.0033377837116154874,1.0,0.006653359880460858
train,4,0.6400964260101318,100,100,100,0.6400964260101318,0.6517586275592586,0.8685222953297943,0.8864583333333333,0.710113484646195,0.5923709798055348,0.7885470669661134
valid,4,0.7622483968734741,100,100,100,0.7622483968734741,0.6422234621286094,0.8707292177263962,0.886762360446571,0.7423230974632844,0.5761194029850746,0.8081395299230265
train,5,0.6397245526313782,100,100,100,0.6397245526313782,0.6509271149865241,0.8671706817213669,0.8868415782094933,0.7389853137516689,0.5774121166791324,0.8061902544860496
valid,5,0.865428626537323,100,100,100,0.865428626537323,0.6430683697666539,0.8747044528049044,0.8817204301075269,0.10947930574098798,0.9343283582089552,0.19477434482831285
train,6,0.6353392601013184,100,100,100,0.6353392601013184,0.6627057218150754,0.8745609485404935,0.8868642370845014,0.7391522029372497,0.5774121166791324,0.8062989209469604
valid,6,0.7393753528594971,100,100,100,0.7393753528594971,0.6426738138413407,0.8730364269418875,0.886762360446571,0.7423230974632844,0.5761194029850746,0.8081395299230265
train,7,0.6343395113945007,100,100,100,0.6343395113945007,0.661476021881082,0.8765819635328526,0.8871385842472582,0.7424899866488651,0.5766641735228123,0.8083946529843373
valid,7,0.8054187297821045,100,100,100,0.8054187297821045,0.6456808082418349,0.8756521600942957,0.8787096774193548,0.4546061415220294,0.7194029850746269,0.5992080905344768
train,8,0.6359573602676392,100,100,100,0.6359573602676392,0.6596092221690751,0.8738709129540527,0.8869808306709265,0.7413217623497997,0.5766641735228123,0.8076363586763743
valid,8,0.6807934641838074,100,100,100,0.6807934641838074,0.6777215391666501,0.8914699627741927,0.886762360446571,0.7423230974632844,0.5761194029850746,0.8081395299230265
train,9,0.6369717121124268,100,100,100,0.6369717121124268,0.6644294112419151,0.8796318915471544,0.8877800407331976,0.7274699599465955,0.5878833208676141,0.799669780409735
valid,9,0.9140931963920593,100,100,100,0.9140931963920593,0.6447482215092761,0.8752360643695207,1.0,0.0033377837116154874,1.0,0.006653359880460858
train,10,0.6349779963493347,100,100,100,0.6349779963493347,0.6631876034163727,0.8789082829821757,0.8872579001019368,0.7263017356475301,0.5863874345549738,0.7987519451277558
valid,10,0.7651801705360413,100,100,100,0.7651801705360413,0.6461052547675508,0.8719709186061528,0.8851239669421488,0.7149532710280374,0.5850746268656717,0.7909896553224323
train,11,0.6349081993103027,100,100,100,0.6349081993103027,0.6601075804887694,0.8740168468568792,0.8870673952641166,0.7314753004005341,0.5826477187733732,0.8017927326296688
valid,11,0.7090293169021606,100,100,100,0.7090293169021606,0.6477512304963832,0.8727094926659249,0.886762360446571,0.7423230974632844,0.5761194029850746,0.8081395299230265
train,12,0.6348761320114136,100,100,100,0.6348761320114136,0.662661659075726,0.8763480868144811,0.8870903277378097,0.7408210947930574,0.5774121166791324,0.807384498496168
valid,12,0.6962171792984009,100,100,100,0.6962171792984009,0.6730217404300262,0.8833378715227179,0.886762360446571,0.7423230974632844,0.5761194029850746,0.8081395299230265
train,13,0.6359513401985168,100,100,100,0.6359513401985168,0.665612739199511,0.8773056671897705,0.8871385842472582,0.7424899866488651,0.5766641735228123,0.8083946529843373
valid,13,0.6526591181755066,100,100,100,0.6526591181755066,0.6739035131419007,0.8876382314753498,0.886762360446571,0.7423230974632844,0.5761194029850746,0.8081395299230265
train,14,0.6328503489494324,100,100,100,0.6328503489494324,0.666393635792625,0.8795297982040898,0.8871385842472582,0.7424899866488651,0.5766641735228123,0.8083946529843373
valid,14,0.6584223508834839,100,100,100,0.6584223508834839,0.6785524978578402,0.8917004689683192,0.886762360446571,0.7423230974632844,0.5761194029850746,0.8081395299230265
train,15,0.6395944952964783,100,100,100,0.6395944952964783,0.6599090485144491,0.8751837224918214,0.8871385842472582,0.7424899866488651,0.5766641735228123,0.8083946529843373
valid,15,0.6587283611297607,100,100,100,0.6587283611297607,0.6747075702927285,0.8896093449709614,0.886762360446571,0.7423230974632844,0.5761194029850746,0.8081395299230265
