Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,0.679141104221344,100,100,100,0.679141104221344,0.5886849471414801,0.8464626468567729,0.8509025270758123,0.3934234685361375,0.6910994764397905,0.5380664264485832
valid,1,0.6208872199058533,100,100,100,0.6208872199058533,0.6640755528561328,0.8780759942541934,0.8868525896414342,0.742494996664443,0.5761194029850746,0.8082788621416448
train,2,0.6423192620277405,100,100,100,0.6423192620277405,0.6516870793600024,0.8736982274198133,0.8870255957634599,0.6710065097646469,0.6170531039640987,0.764040667908053
valid,2,0.7932815551757812,100,100,100,0.7932815551757812,0.6680314239343641,0.8804004809653347,0.9090909090909091,0.0066711140760507,0.9970149253731343,0.013245032967948775
train,3,0.6463101506233215,100,100,100,0.6463101506233215,0.6543021338290158,0.8724801446618837,0.8863730785209805,0.7122350191954598,0.5908750934928946,0.789819523055628
valid,3,0.7672246694564819,100,100,100,0.7672246694564819,0.6607021596487211,0.8746636559201842,0.8868525896414342,0.742494996664443,0.5761194029850746,0.8082788621416448
train,4,0.6397913098335266,100,100,100,0.6397913098335266,0.6645526130132622,0.8794676021906292,0.887350936967632,0.6955433149724587,0.6043380703066566,0.7798259518433247
valid,4,0.6770519614219666,100,100,100,0.6770519614219666,0.6739567671980325,0.8751263323454068,0.8868525896414342,0.742494996664443,0.5761194029850746,0.8082788621416448
train,5,0.6410506963729858,100,100,100,0.6410506963729858,0.6578512745433284,0.8757923424852706,0.8866819987455572,0.7078951760974795,0.5946148092744952,0.7872656345653626
valid,5,0.7975023984909058,100,100,100,0.7975023984909058,0.6785100514771042,0.8835048971240789,0.8868525896414342,0.742494996664443,0.5761194029850746,0.8082788621416448
train,6,0.6380698680877686,100,100,100,0.6380698680877686,0.6674373315145993,0.8824640393128516,0.8878205128205128,0.6935403104656985,0.6073298429319371,0.7787461294583754
valid,6,0.579709529876709,100,100,100,0.579709529876709,0.6851134587237263,0.8916531498494488,0.8868525896414342,0.742494996664443,0.5761194029850746,0.8082788621416448
train,7,0.6357676982879639,100,100,100,0.6357676982879639,0.6605163292183351,0.8786753316275291,0.8871160749900279,0.742447003839092,0.5766641735228123,0.8083598314773903
valid,7,0.6330920457839966,100,100,100,0.6330920457839966,0.6889906703971802,0.8950266315067303,0.8868525896414342,0.742494996664443,0.5761194029850746,0.8082788621416448
train,8,0.6331489086151123,100,100,100,0.6331489086151123,0.6711601932941796,0.8862772598912385,0.8874664464175098,0.7174094475045902,0.5923709798055348,0.7934280917886493
valid,8,0.610377311706543,100,100,100,0.610377311706543,0.6906992721515837,0.8916141297646416,0.8868525896414342,0.742494996664443,0.5761194029850746,0.8082788621416448
train,9,0.6281843781471252,100,100,100,0.6281843781471252,0.6801033637217233,0.8853148359890909,0.8883946623534169,0.7334334835586713,0.587135377711294,0.8035110126921674
valid,9,0.6704476475715637,100,100,100,0.6704476475715637,0.6956418706998697,0.8916473241599638,0.8868525896414342,0.742494996664443,0.5761194029850746,0.8082788621416448
train,10,0.6312450766563416,100,100,100,0.6312450766563416,0.6863778589849371,0.8921028154724688,0.8882989585460486,0.7260891337005508,0.5908750934928946,0.7990448150357837
valid,10,0.728348433971405,100,100,100,0.728348433971405,0.6939282905021258,0.8914979117792753,0.8883455582722086,0.7271514342895263,0.591044776119403,0.7997065247636468
train,11,0.6256428956985474,100,100,100,0.6256428956985474,0.6885313010652854,0.8906308635859552,0.8895824365045201,0.6898681355366383,0.6163051608077786,0.7770988011342809
valid,11,0.6776086091995239,100,100,100,0.6776086091995239,0.6955044656636763,0.8952358520634707,0.8868525896414342,0.742494996664443,0.5761194029850746,0.8082788621416448
train,12,0.6240627765655518,100,100,100,0.6240627765655518,0.6978242232458636,0.8967453817900359,0.8890935134029057,0.7252545484894007,0.5946148092744952,0.7988600796258707
valid,12,0.7346253991127014,100,100,100,0.7346253991127014,0.6902860613543357,0.8926555494702959,0.8884955752212389,0.6697798532354903,0.6238805970149254,0.7637885078409887
train,13,0.6214940547943115,100,100,100,0.6214940547943115,0.7025550791907134,0.9002432401481416,0.8905451448040886,0.6980470706059089,0.6155572176514585,0.7826331007157865
valid,13,0.6348446011543274,100,100,100,0.6348446011543274,0.6972608604741469,0.8931145466273295,0.8877388535031847,0.7438292194796531,0.5791044776119403,0.8094373816087721
train,14,0.6203665733337402,100,100,100,0.6203665733337402,0.7096190283930008,0.9031739492911369,0.8936170212765957,0.6870305458187281,0.6335078534031413,0.7768236244144645
valid,14,0.6374602317810059,100,100,100,0.6374602317810059,0.7017095974430716,0.8999158394883249,0.8869426751592356,0.7431621080720481,0.5761194029850746,0.808711428795705
train,15,0.6177492141723633,100,100,100,0.6177492141723633,0.7130465706038489,0.9061309780795064,0.8945295404814004,0.6823568686362878,0.6394913986537023,0.7741691078639323
valid,15,0.7162137627601624,100,100,100,0.7162137627601624,0.7044457499029203,0.8982975129237933,0.8918918918918919,0.6604402935290193,0.6417910447761194,0.7589114554407811
train,16,0.6134297847747803,100,100,100,0.6134297847747803,0.7183772417539299,0.9084300951296529,0.8972648432288192,0.6735102653980971,0.6544502617801047,0.7694507960167897
valid,16,0.657772421836853,100,100,100,0.657772421836853,0.7043710732528153,0.9014240034158039,0.8881737731295254,0.7364909939959974,0.5850746268656717,0.8052516361814385
train,17,0.6099440455436707,100,100,100,0.6099440455436707,0.7222978571572143,0.9110114960766672,0.90014064697609,0.6409614421632449,0.681376215407629,0.7487569416169966
valid,17,0.661945641040802,100,100,100,0.661945641040802,0.7047862754273992,0.901785350489509,0.8915966386554622,0.7078052034689793,0.6149253731343284,0.7891409396550912
train,18,0.606493353843689,100,100,100,0.606493353843689,0.7274378283955477,0.9129244397551266,0.9035025017869907,0.6329494241362043,0.6970830216903515,0.7444051777227643
valid,18,0.6533648371696472,100,100,100,0.6533648371696472,0.7033524837453824,0.9027553346104713,0.8897180762852405,0.7158105403602402,0.6029850746268657,0.7933456512509006
train,19,0.6005001664161682,100,100,100,0.6005001664161682,0.7348495942617491,0.9159007761792313,0.9050424128180962,0.6411283592054748,0.6985789080029918,0.7505617928984823
valid,19,0.7275056838989258,100,100,100,0.7275056838989258,0.7088148317783994,0.9035520025999476,0.8970588235294118,0.6104069379586391,0.6865671641791045,0.7264787565940537
train,20,0.5905593633651733,100,100,100,0.5905593633651733,0.7443364623100195,0.921139133870108,0.9107617896009673,0.628609581038224,0.7240089753178759,0.7438277652647576
valid,20,0.5819553136825562,100,100,100,0.5819553136825562,0.7062399808827776,0.9042370057997589,0.8888888888888888,0.7471647765176784,0.582089552238806,0.8118883603872844
train,21,0.5875043272972107,100,100,100,0.5875043272972107,0.7503066492034237,0.9223543725313013,0.915461896593972,0.6236020697713236,0.7419596110695588,0.741858613130561
valid,21,0.6772105097770691,100,100,100,0.6772105097770691,0.7080849919847063,0.9045901469772384,0.8945454545454545,0.6564376250833889,0.6537313432835821,0.7572143083152264
train,22,0.5795865654945374,100,100,100,0.5795865654945374,0.7542399363193382,0.9248475056550862,0.9129377431906615,0.6266065765314639,0.7322363500373972,0.7431455954896885
valid,22,0.6280259490013123,100,100,100,0.6280259490013123,0.712449095416845,0.9077299508824113,0.8912489379779099,0.6997998665777185,0.6179104477611941,0.7840059741456389
train,23,0.5783997774124146,100,100,100,0.5783997774124146,0.7594806570364147,0.9270524360492255,0.9176178660049628,0.6172592221665832,0.7516828721017202,0.7380500899923892
valid,23,0.6628986597061157,100,100,100,0.6628986597061157,0.6949966644429619,0.9017485410572332,0.889795918367347,0.5817211474316211,0.6776119402985075,0.7035094748480377
train,24,0.5741504430770874,100,100,100,0.5741504430770874,0.7648186940096007,0.9290808997257073,0.91864490603363,0.6200968118844934,0.7539267015706806,0.7404085651932032
valid,24,0.7195102572441101,100,100,100,0.7195102572441101,0.7010683739408361,0.903183006486866,0.906832298136646,0.48699132755170116,0.7761194029850746,0.6336805510092088
train,25,0.570637583732605,100,100,100,0.570637583732605,0.7691126567687482,0.930992478698256,0.9208796764408493,0.6080787848439325,0.7658937920718025,0.7324821506330197
valid,25,0.6360651254653931,100,100,100,0.6360651254653931,0.7090279091533659,0.9072188031294521,0.8956602031394275,0.6470980653769179,0.6626865671641791,0.7513555334721612
train,26,0.5636090040206909,100,100,100,0.5636090040206909,0.7771501430655082,0.9346415534070993,0.9228334956183057,0.6327825070939743,0.762902019446522,0.7507673978869656
