Partition,Epoch,Loss,Prmsd_loss,Coords_loss,Bondlen_loss,Inter_loss,AUC-ROC,AUC-PR,Precision,Recall,TNR,F1_score
train,1,0.6692400574684143,100,100,100,0.6692400574684143,0.6015355604690411,0.8513505178356672,0.869283276450512,0.4249958284665443,0.713965646004481,0.5708842273497908
valid,1,0.8641632199287415,100,100,100,0.8641632199287415,0.6782092713956441,0.8906263716574574,1.0,0.0013360053440213762,1.0,0.002668445603771427
train,2,0.641875147819519,100,100,100,0.641875147819519,0.6650296643071385,0.8781855361928419,0.8876355748373101,0.6827965960287001,0.6131441374159821,0.7718570166827273
valid,2,0.7195926904678345,100,100,100,0.7195926904678345,0.6824941173638569,0.8914280937408321,0.8874700718276137,0.7428189712758851,0.5765765765765766,0.8087272677666355
train,3,0.6354889869689941,100,100,100,0.6354889869689941,0.6651513522061523,0.8798734555534633,0.8861788617886179,0.7093275488069414,0.5922330097087378,0.787951802290347
valid,3,0.7089472413063049,100,100,100,0.7089472413063049,0.6878120605575516,0.8900052995907122,0.8874700718276137,0.7428189712758851,0.5765765765765766,0.8087272677666355
train,4,0.6341966390609741,100,100,100,0.6341966390609741,0.672057654517774,0.8820525819610563,0.886483205180089,0.7310195227765727,0.5810306198655714,0.8012802876845063
valid,4,0.6972782611846924,100,100,100,0.6972782611846924,0.6885111564470282,0.8897349325850633,0.8874700718276137,0.7428189712758851,0.5765765765765766,0.8087272677666355
train,5,0.6286469101905823,100,100,100,0.6286469101905823,0.6841321098164438,0.8872459691999431,0.8876451077943616,0.7145002502920074,0.5952203136669156,0.7917167372235069
valid,5,0.7540827393531799,100,100,100,0.7540827393531799,0.6928150595485265,0.8935266028576772,0.8859649122807017,0.6746826987307949,0.6096096096096096,0.766021989782577
train,6,0.6258796453475952,100,100,100,0.6258796453475952,0.6906317265587546,0.891599720693095,0.8877530157432018,0.7245119305856833,0.5899925317401046,0.7978684257752559
valid,6,0.7179017066955566,100,100,100,0.7179017066955566,0.698707725761834,0.8949977868883485,0.8887993553585818,0.7368069472277889,0.5855855855855856,0.8056975845250837
train,7,0.6247062087059021,100,100,100,0.6247062087059021,0.6969406802334862,0.8928429468996681,0.88909696213067,0.7129984982479559,0.6019417475728155,0.7913695663170073
valid,7,0.6746377944946289,100,100,100,0.6746377944946289,0.7022694036722094,0.8950564979558722,0.8894230769230769,0.7414829659318637,0.5855855855855856,0.8087431644400491
train,8,0.616046667098999,100,100,100,0.616046667098999,0.7012527186621883,0.8938839934835261,0.8906019007391763,0.7036542633071917,0.6131441374159821,0.7861670345914975
valid,8,0.7403537034988403,100,100,100,0.7403537034988403,0.6965081313778709,0.8907034818064639,0.8892794376098418,0.6760187040748163,0.6216216216216216,0.768121437218048
train,9,0.6141326427459717,100,100,100,0.6141326427459717,0.7133048676281153,0.8993204572673086,0.8892678034102307,0.7396963123644251,0.5877520537714712,0.8076152255030764
